order_id,customer_id,order_date,freight
1000,1,2026-07-28,52.13
1001,1,2025-04-03,34.63
1002,1,2026-09-23,40.75
1003,1,2025-09-05,37.98
1004,2,2025-11-19,46.69
1005,2,2025-01-18,51.6
1006,2,2025-02-23,30.85
1007,3,2025-03-03,30.57
1008,4,2026-02-08,59.77
1009,4,2025-09-22,5.53
1010,5,2026-08-12,12.47
1011,5,2026-09-11,9.32
1012,5,2025-09-19,18.11
1013,5,2025-07-28,46.19
1014,6,2025-06-30,20.51
1015,7,2026-05-02,55.06
1016,8,2026-04-09,35.04
1017,9,2026-05-27,36.5
1018,10,2025-11-14,38.07
1019,11,2026-11-07,56.17
1020,11,2026-05-24,24.29
1021,11,2025-04-26,29.79
1022,12,2026-09-15,7.28
1023,12,2025-09-30,18.06
1024,12,2025-07-24,50.31
1025,13,2025-03-31,27.58
1026,13,2026-10-20,55.83
1027,14,2026-07-04,58.72
1028,14,2025-01-30,17.01
1029,14,2025-12-10,42.76
1030,15,2026-03-26,33.97
1031,15,2026-07-12,33.83
1032,16,2026-02-28,55.64
1033,16,2025-09-24,12.12
1034,16,2025-01-13,42.79
1035,16,2025-07-22,43.58
1036,17,2025-07-19,17.0
1037,17,2025-04-10,28.91
1038,17,2025-07-13,49.16
1039,18,2025-05-18,57.33
1040,19,2026-01-15,27.29
1041,19,2026-10-07,56.68
1042,19,2026-02-20,12.33
1043,20,2025-12-31,59.48
1044,21,2026-06-30,9.23
1045,21,2025-01-12,10.41
1046,22,2026-01-31,56.16
1047,23,2026-05-22,28.14
1048,23,2025-06-10,27.48
1049,23,2025-09-14,58.52
1050,23,2025-09-09,38.2
1051,24,2025-02-23,24.62
1052,24,2026-10-17,37.02
1053,25,2026-10-11,20.33
1054,25,2025-01-10,19.9
1055,26,2025-05-17,51.12
1056,26,2026-10-01,51.09
1057,26,2026-11-01,51.0
1058,26,2025-03-22,34.9
1059,27,2026-01-11,54.85
1060,27,2026-02-14,58.23
1061,27,2026-08-22,26.32
1062,28,2026-07-12,13.73
1063,29,2025-04-10,46.02
1064,29,2025-03-16,43.95
1065,30,2026-06-21,24.91
1066,31,2026-10-13,25.65
1067,31,2025-03-02,30.93
1068,32,2025-01-18,37.12
1069,32,2026-01-03,16.96
1070,32,2026-02-17,14.49
1071,32,2026-02-14,7.73
1072,33,2026-01-16,29.75
1073,33,2025-05-29,19.27
1074,33,2025-01-02,16.24
1075,33,2025-03-26,57.55
1076,34,2026-04-24,41.69
1077,34,2025-04-19,41.72
1078,34,2026-10-05,25.68
1079,35,2026-04-03,50.48
1080,35,2025-05-15,42.27
1081,35,2025-04-13,17.46
1082,36,2026-01-31,31.55
1083,36,2025-04-19,35.65
1084,37,2026-08-11,44.24
1085,37,2026-03-04,43.34
1086,38,2025-06-22,55.01
1087,38,2026-01-07,50.69
1088,38,2026-11-19,51.6
1089,39,2026-10-20,48.12
1090,40,2026-03-21,11.46
1091,40,2026-03-07,54.74
1092,40,2025-09-08,11.84
1093,40,2026-11-13,25.28
